MovieID,Title,Genres,Year,Gencode
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995,1111100000000000000
2,Jumanji,Adventure|Children|Fantasy,1995,1010100000000000000
3,Grumpier Old Men,Comedy|Romance,1995,0001010000000000000
4,Waiting to Exhale,Comedy|Drama|Romance,1995,0001011000000000000
5,Father of the Bride Part II,Comedy,1995,0001000000000000000
6,Heat,Action|Crime|Thriller,1995,0000000111000000000
7,Sabrina,Comedy|Romance,1995,0001010000000000000
8,Tom and Huck,Adventure|Children,1995,1010000000000000000
9,Sudden Death,Action,1995,0000000100000000000
10,GoldenEye,Action|Adventure|Thriller,1995,1000000101000000000
11,"American President, The",Comedy|Drama|Romance,1995,0001011000000000000
12,Dracula: Dead and Loving It,Comedy|Horror,1995,0001000000100000000
13,Balto,Animation|Children,1995,0110000000000000000
14,Nixon,Drama,1995,0000001000000000000
15,Cutthroat Island,Action|Adventure|Romance,1995,1000010100000000000
16,Casino,Crime|Drama,1995,0000001010000000000
17,Sense and Sensibility,Comedy|Drama|Romance,1995,0001011000000000000
18,Four Rooms,Comedy|Drama|Thriller,1995,0001001001000000000
19,Ace Ventura: When Nature Calls,Comedy,1995,0001000000000000000
20,Money Train,Action|Comedy|Crime|Drama|Thriller,1995,0001001111000000000
21,Get Shorty,Action|Comedy|Drama,1995,0001001100000000000
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995,0000001011110000000
23,Assassins,Action|Crime|Thriller,1995,0000000111000000000
24,Powder,Drama|Sci-Fi,1995,0000001000001000000
25,Leaving Las Vegas,Drama|Romance,1995,0000011000000000000
26,Othello,Drama,1995,0000001000000000000
28,Persuasion,Drama|Romance,1995,0000011000000000000
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,1000101000011000000
31,Dangerous Minds,Drama,1995,0000001000000000000
32,12 Monkeys (Twelve Monkeys),Sci-Fi|Thriller,1995,0000000001001000000
34,Babe,Children|Comedy|Drama|Fantasy,1995,0011101000000000000
35,Carrington,Drama|Romance,1995,0000011000000000000
36,Dead Man Walking,Crime|Drama,1995,0000001010000000000
38,It Takes Two,Comedy,1995,0001000000000000000
39,Clueless,Comedy|Romance,1995,0001010000000000000
40,"Cry, the Beloved Country",Drama,1995,0000001000000000000
41,Richard III,Drama|War,1995,0000001000000001000
42,Dead Presidents,Action|Crime|Drama,1995,0000001110000000000
43,Restoration,Drama,1995,0000001000000000000
44,Mortal Kombat,Action|Adventure|Fantasy,1995,1000100100000000000
45,To Die For,Comedy|Drama|Thriller,1995,0001001001000000000
46,How to Make an American Quilt,Drama|Romance,1995,0000011000000000000
47,Seven (a.k.a. Se7en),Crime|Horror|Mystery|Thriller,1995,0000000011110000000
48,Pocahontas,Animation|Children|Musical|Romance,1995,0110010000000000100
49,When Night Is Falling,Drama|Romance,1995,0000011000000000000
50,"Usual Suspects, The",Crime|Mystery|Thriller,1995,0000000011010000000
52,Mighty Aphrodite,Comedy|Drama|Romance,1995,0001011000000000000
53,Lamerica,Adventure|Drama,1994,1000001000000000000
54,"Big Green, The",Children|Comedy,1995,0011000000000000000
55,Georgia,Drama,1995,0000001000000000000
57,Home for the Holidays,Drama,1995,0000001000000000000
58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,1994,0001011000000000000
59,"Confessional, The (Confessionnal, Le)",Drama|Mystery,1995,0000001000010000000
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,1995,1010100000000000000
62,Mr. Holland's Opus,Drama,1995,0000001000000000000
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996,0001000010000000000
65,Bio-Dome,Comedy,1996,0001000000000000000
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996,0000000101001000000
67,Two Bits,Drama,1995,0000001000000000000
68,French Twist (Gazon maudit),Comedy|Romance,1995,0001010000000000000
69,Friday,Comedy,1995,0001000000000000000
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996,0001000101100000000
71,Fair Game,Action,1995,0000000100000000000
72,Kicking and Screaming,Comedy|Drama,1995,0001001000000000000
74,Bed of Roses,Drama|Romance,1996,0000011000000000000
75,Big Bully,Comedy|Drama,1996,0001001000000000000
76,Screamers,Action|Sci-Fi|Thriller,1995,0000000101001000000
78,"Crossing Guard, The",Drama,1995,0000001000000000000
79,"Juror, The",Drama|Thriller,1996,0000001001000000000
80,"White Balloon, The (Badkonake sefid)",Children|Drama,1995,0010001000000000000
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,1995,0000011010000000000
82,Antonia's Line (Antonia),Comedy|Drama,1995,0001001000000000000
83,Once Upon a Time... When We Were Colored,Drama,1995,0000001000000000000
85,Angels and Insects,Drama|Romance,1995,0000011000000000000
86,White Squall,Adventure|Drama,1996,1000001000000000000
88,Black Sheep,Comedy,1996,0001000000000000000
89,Nick of Time,Action|Thriller,1995,0000000101000000000
92,Mary Reilly,Drama|Horror|Thriller,1996,0000001001100000000
93,Vampire in Brooklyn,Comedy|Romance,1995,0001010000000000000
94,Beautiful Girls,Comedy|Drama|Romance,1996,0001011000000000000
95,Broken Arrow,Action|Adventure|Thriller,1996,1000000101000000000
96,In the Bleak Midwinter,Comedy|Drama,1995,0001001000000000000
97,"Hate (Haine, La)",Drama,1995,0000001000000000000
98,Shopping,Action|Thriller,1994,0000000101000000000
100,City Hall,Drama|Thriller,1996,0000001001000000000
101,Bottle Rocket,Adventure|Comedy|Crime|Romance,1996,1001010010000000000
103,Unforgettable,Mystery|Sci-Fi|Thriller,1996,0000000001011000000
104,Happy Gilmore,Comedy,1996,0001000000000000000
105,"Bridges of Madison County, The",Drama|Romance,1995,0000011000000000000
107,Muppet Treasure Island,Adventure|Children|Comedy|Musical,1996,1011000000000000100
110,Braveheart,Action|Drama|War,1995,0000001100000001000
111,Taxi Driver,Crime|Drama|Thriller,1976,0000001011000000000
