movieId,year,genc
1,1995,[ 8 15 13  1 11]
2,1995,[ 8 13 11]
3,1995,[1 3]
4,1995,[1 0 3]
5,1995,[1]
6,1995,[4 5 2]
7,1995,[1 3]
8,1995,[ 8 13]
9,1995,[4]
10,1995,[4 8 2]
11,1995,[1 0 3]
12,1995,[1 6]
13,1995,[ 8 15 13]
14,1995,[0]
15,1995,[4 8 3]
16,1995,[5 0]
17,1995,[0 3]
18,1995,[1]
19,1995,[1]
20,1995,[4 1 5 0 2]
21,1995,[1 5 2]
22,1995,[ 5  0  6 10  2]
23,1995,[4 5 2]
24,1995,[0 9]
25,1995,[0 3]
26,1995,[0]
27,1995,[13  0]
28,1995,[0 3]
29,1995,[ 8  0 11 10  9]
30,1995,[5 0]
31,1995,[0]
32,1995,[10  9  2]
33,1995,[ 8  3 19]
34,1995,[13  0]
35,1995,[0 3]
36,1995,[5 0]
37,1995,[ 7 19]
38,1995,[13  1]
39,1995,[1 3]
40,1995,[0]
41,1995,[ 0 12]
42,1995,[4 5 0]
43,1995,[0]
44,1995,[ 4  8 11]
45,1995,[1 0 2]
46,1995,[0 3]
47,1995,[10  2]
48,1995,[15 13  0 14  3]
49,1995,[0 3]
50,1995,[ 5 10  2]
51,1994,[4 0 2]
52,1995,[1 0 3]
53,1994,[8 0]
54,1995,[13  1]
55,1995,[0]
56,1995,[ 8 13 11]
57,1995,[0]
58,1994,[1 0 3]
59,1995,[ 0 10]
60,1995,[ 8 13 11]
61,1996,[0 2]
62,1995,[0]
63,1996,[1 5]
64,1996,[1 3]
65,1996,[1]
66,1996,[4 9 2]
67,1995,[0]
68,1995,[1 3]
69,1995,[1]
70,1996,[4 1 6 2]
71,1995,[4]
72,1995,[1 0]
73,1995,[ 0 12]
74,1996,[0 3]
75,1996,[1 0]
76,1995,[4 9 2]
77,1995,[7]
78,1995,[4 5 0 2]
79,1996,[0 2]
80,1995,[13  0]
81,1995,[5 0 3]
82,1995,[1 0]
83,1995,[0 3]
84,1995,[1 0]
85,1995,[0 3]
86,1996,[4 8 0]
87,1996,[13  1]
88,1996,[1]
89,1995,[4 2]
90,1995,[0]
92,1996,[0 6 2]
93,1995,[1 6 3]
94,1996,[1 0 3]
95,1996,[4 8 2]
96,1995,[1 0]
97,1995,[5 0]
98,1994,[4 2]
99,1995,[7]
100,1996,[0 2]
101,1996,[8 1 5 3]
102,1996,[1]
103,1996,[10  9  2]
104,1996,[1]
105,1995,[0 3]
106,1994,[1 0]
107,1996,[ 8 13  1 14]
108,1996,[7]
109,1995,[1 0 2]
110,1995,[ 4  0 12]
111,1976,[5 0 2]
112,1995,[4 8 1 5]
113,1996,[ 0 10]
114,1995,[0]
115,1995,[1]
116,1995,[7]
117,1995,[5 0]
118,1996,[1 3]
119,1995,[1]
120,1996,[8 1 0]
121,1992,[0]
122,1992,[1 3]
123,1994,[ 0 10  3]
124,1995,[0]
125,1996,[1]
126,1994,[ 8 13 11]
127,1994,[0]
128,1994,[7]
129,1996,[1 3]
130,1995,[0]
131,1995,[0 3]
132,1995,[2]
133,1995,[1 0]
134,1995,[7]
135,1996,[1]
136,1995,[7]
137,1995,[7]
138,1995,[0]
139,1995,[4 0]
140,1996,[0 3]
141,1996,[1]
142,1988,[0]
143,1995,[0]
144,1995,[1]
145,1995,[4 1 5 0 2]
146,1995,[ 8 13]
147,1995,[0]
148,1995,[0]
149,1994,[5 0 2]
150,1995,[ 8  0 19]
151,1995,[ 4  0  3 12]
152,1995,[0 6]
153,1995,[4 8 1 5]
154,1967,[0]
155,1995,[ 8  0 12]
156,1995,[1 0]
157,1995,[ 1 12]
158,1995,[ 8 13]
159,1995,[ 5  0 10]
160,1995,[ 4  8 10  9]
161,1995,[ 0  2 12]
162,1994,[7]
163,1995,[ 4  3 16]
164,1995,[ 5 17 10  2]
165,1995,[4 5 2]
166,1995,[1 5 0]
167,1995,[0]
168,1995,[4 0 3]
169,1995,[ 8 13  0]
170,1995,[4 8 5 2]
171,1995,[1 0]
172,1995,[4 9 2]
173,1995,[4 5 9]
174,1995,[1]
175,1995,[0]
176,1995,[1]
177,1995,[6]
178,1993,[1 0]
179,1995,[0 3]
180,1995,[1 3]
181,1995,[ 4 13]
182,1995,[0 3]
183,1994,[1 6 2]
184,1994,[0]
185,1995,[4 5 2]
186,1995,[1 3]
187,1995,[1]
188,1995,[11  6 10]
189,1995,[ 1 11]
190,1995,[2]
191,1995,[0 3]
192,1995,[7]
193,1995,[0]
194,1995,[1 0]
195,1995,[1 0 3]
196,1995,[6 9]
197,1995,[0]
198,1995,[ 4  5  0 10  9  2]
199,1964,[ 0 14  3]
200,1995,[2]
201,1995,[ 0 11]
202,1995,[0 3]
203,1995,[1]
204,1995,[4]
205,1995,[1 0]
206,1995,[7]
207,1995,[0 3]
208,1995,[4 8 9]
209,1995,[0]
210,1995,[16]
211,1994,[0]
212,1995,[ 8  1  5 10]
213,1994,[0]
214,1994,[ 0 12]
215,1995,[0 3]
216,1995,[1]
217,1995,[0 2]
218,1995,[1 0]
219,1995,[0]
220,1995,[6]
222,1995,[0 3]
223,1994,[1]
224,1995,[1 0 3]
225,1994,[0 2]
226,1995,[2]
227,1994,[4 2]
228,1995,[1]
229,1994,[0 2]
230,1995,[0 2]
231,1994,[8 1]
232,1994,[1 0 3]
233,1994,[0]
234,1994,[1]
235,1994,[1 0]
236,1995,[4 1 3]
237,1995,[1 3]
238,1995,[ 8 13]
239,1995,[15 13  1  3]
240,1995,[2]
241,1995,[13  0]
242,1994,[ 0 14]
243,1995,[13  1 11]
244,1995,[15 13]
245,1994,[5 0]
246,1994,[7]
247,1994,[5 0]
248,1994,[1]
249,1994,[0 3]
250,1995,[13  1]
251,1995,[4]
252,1994,[1 3]
253,1994,[0 6]
254,1995,[0]
255,1995,[1]
256,1994,[1 9]
257,1995,[10  2]
258,1995,[ 8 13  1 11  3]
259,1995,[5 0 2]
260,1977,[4 8 9]
261,1994,[0]
262,1995,[13  0]
263,1994,[0]
264,1994,[0]
265,1992,[ 0 11  3]
266,1994,[ 0  3 12 16]
267,1995,[1]
268,1994,[5 0]
269,1993,[0]
270,1994,[0 3]
271,1995,[0]
272,1994,[1 0]
273,1994,[0 6 9]
274,1995,[1]
275,1994,[1]
276,1994,[1 3]
277,1994,[0]
278,1995,[1]
279,1995,[0]
280,1995,[0 2]
281,1994,[1 0 3]
282,1994,[0]
283,1995,[5 0]
284,1993,[4 5]
285,1993,[0 6]
286,1995,[4 9 2]
287,1994,[1 3]
288,1994,[4 5 2]
289,1994,[1 3]
290,1994,[5 0]
291,1996,[0 2]
292,1995,[4 0 9 2]
293,1994,[4 5 0 2]
294,1995,[1 3]
295,1995,[1 3]
296,1994,[1 5 0 2]
297,1995,[0]
298,1992,[0]
299,1994,[0]
300,1994,[0]
301,1994,[0 3]
302,1994,[0 3]
303,1995,[ 4  2 16]
304,1995,[1 0]
305,1994,[1]
306,1994,[0]
307,1993,[0]
308,1994,[1 0]
309,1994,[0]
310,1995,[1]
311,1994,[6 2]
312,1995,[1]
313,1994,[15 13]
314,1994,[13  0 11 10]
315,1994,[4 0 2]
316,1994,[4 8 9]
317,1994,[ 1  0 11]
318,1994,[5 0]
319,1994,[1 0 2]
320,1993,[17  2]
321,1993,[0]
322,1995,[1 0]
324,1994,[1 0]
325,1995,[1]
326,1994,[0]
327,1995,[4 1 9]
328,1995,[6 2]
329,1994,[8 0 9]
330,1995,[4 5 6]
331,1994,[0]
332,1995,[6 9]
333,1995,[1]
334,1994,[0]
335,1995,[10  2]
336,1995,[ 0 12]
337,1993,[0]
338,1995,[4 9 2]
339,1995,[1 3]
340,1994,[ 8  0 12]
341,1994,[0]
342,1994,[1]
343,1995,[13]
344,1994,[1]
345,1994,[1 0]
346,1993,[ 0 14]
347,1992,[ 0 17  3]
348,1994,[1]
349,1994,[4 5 0 2]
350,1994,[ 0 10  2]
351,1994,[1 0 3]
352,1994,[1 0]
353,1994,[ 4  5 11  2]
354,1994,[0]
355,1994,[13  1 11]
356,1994,[ 1  0  3 12]
357,1994,[1 3]
358,1995,[0]
359,1994,[1 0 3]
360,1994,[4 1]
361,1994,[1 0 3]
362,1994,[ 8 13  3]
363,1993,[7]
364,1994,[ 8 15 13  0 14 19]
365,1993,[0]
366,1994,[ 0  6 10  2]
367,1994,[ 4  1  5 11]
368,1994,[ 8  1 16]
369,1994,[0]
370,1994,[4 1]
371,1994,[1 0]
372,1994,[1 0 3]
373,1992,[2]
374,1994,[13  1]
375,1994,[0]
376,1994,[4 2]
377,1994,[4 3 2]
378,1994,[1 3]
379,1994,[4 9 2]
380,1994,[4 8 1 3 2]
381,1994,[0 3]
382,1994,[0 6 3 2]
383,1994,[16]
384,1995,[4 5 0]
385,1994,[0]
386,1994,[0]
387,1994,[4 1]
388,1995,[0]
389,1994,[ 0  3 12]
390,1965,[4 5 0]
391,1994,[5 0]
392,1993,[ 8 15]
393,1994,[ 4  8 11]
394,1995,[1]
395,1995,[ 0 11  3]
396,1995,[0]
397,1995,[6]
398,1995,[7]
399,1995,[0]
400,1995,[0]
401,1995,[4 2]
402,1996,[1]
403,1995,[1 5 0]
404,1994,[7]
405,1994,[ 4 11]
406,1994,[0]
407,1995,[6 2]
408,1994,[0]
409,1994,[5 0]
410,1993,[13  1 11]
411,1994,[1 7]
412,1993,[0]
413,1994,[1]
414,1994,[1]
415,1993,[1 2]
416,1994,[16]
417,1994,[1 3]
418,1993,[0]
419,1993,[1]
420,1994,[4 1 5 2]
421,1994,[ 8 13  0]
422,1994,[2]
423,1994,[4 2]
424,1994,[0]
425,1994,[0 3]
426,1993,[6 9 2]
427,1993,[ 0 10  3  2]
428,1993,[0]
429,1994,[1]
