1891,1
1893,1
1894,2
1895,2
1896,2
1898,5
1899,1
1900,1
1901,1
1902,1
1903,1
1905,1
1909,3
1910,3
1912,5
1913,5
1914,13
1915,17
1916,17
1917,12
1918,8
1919,17
1920,19
1921,27
1922,25
1923,17
1924,30
1925,32
1926,40
1927,31
1928,48
1929,50
1930,59
1931,69
1932,96
1933,98
1934,101
1935,107
1936,107
1937,104
1938,95
1939,93
1940,117
1941,107
1942,101
1943,117
1944,101
1945,105
1946,92
1947,99
1948,102
1949,126
1950,122
1951,125
1952,131
1953,136
1954,113
1955,146
1956,136
1957,163
1958,146
1959,151
1960,148
1961,123
1962,151
1963,148
1964,173
1965,166
1966,199
1967,173
1968,203
1969,177
1970,205
1971,205
1972,219
1973,211
1974,195
1975,196
1976,199
1977,198
1978,192
1979,202
1980,243
1981,248
1982,238
1983,223
1984,234
1985,254
1986,266
1987,313
1988,325
1989,310
1990,315
1991,313
1992,335
1993,372
1994,433
1995,474
1996,509
1997,528
1998,555
1999,542
2000,613
2001,633
2002,679
2003,656
2004,706
2005,741
2006,855
2007,903
2008,980
2009,1114
2010,964
2011,1017
2012,1022
2013,1012
2014,746
2015,121
