movieId,tagenc
1,8649 10931 2320 6509 8365 6508 9297 12168 8219 6508 19201 6508 9025 9290 9297 10756 10860 10931 12168 12200 8219 10200 1999 12189 3411 13361 14132 16709 7940 8382 18990 19201 9297 13361 6508 18251 6508 6509 9297 13929 6508 6508 6508 19201 2317 8148 18251 1417 18423 18425 9297 6508 9297 2317 15789 9297 11549 12200 6508 9297 15789 10608 9297 10931 12541 13361 6508 8219 19201 159 2317 12541 6508 18251 6508 18251 9297 6508 1516 2317 18423 18425 6508 6508 9297 15789 9290 9297 10860 2317 6508 10756 10931 2317 12200 6508 18425 19201 9297 10461 6508 10608 10931 12168 12541 6508 8219 18425 697 6508 18976 10608 2317 10931 12541 6508 9297 12200 6508 9297 6508 2317 6508 8148 8219 6508 9297 10860 2317 6508 13459 9297 15789 8148 8219 159 9290 10608 10860 10931 2317 12168 13361 6508 18251 8219 10608 6508 8219 9297 6508 9290 9297 10266 10931 12541 6508 8219 8219 1516 9297 10860 12541 13459 6508 6508 8219 15789 9297 10461 2317 12168 6508 18425 10931 6508 10608 12168 6508 8219 18425 19201 6508 6508 9290 10461 10860 9290 9297 10608 10860 12200 12541 13361 6508 18251 18827 1118 4380 6508 9297 10931 15789 18425 9025 9297 10860 12168 12200 4380 8392 9025 10608 10721 10931 2317 12541 6508 8148 8219 9297 6508 9025 10608 12168 12541 9297 8219 9636 10310 9290 12530 15789 10931 159 10608 8630 10721 15789 10608 10931 12168 13361 18251 8219 19201 6508 9297 15789 6508 1418 10721 11549 15789 15789 9297 2317 6508 8219 9136 18425 10931 2317 13361 6508 12541 6508 9025 9290 9297 10266 10608 10721 10756 10860 10931 2317 12168 12200 12541 13361 13459 6508 18251 8219 18425 19201 9025 9297 10608 10860 2317 9297 12530 9297 10608 10756 2317 12168 12541 13361 13459 6508 6509 8219 6508 2317 6508 9025 9290 9297 10721 2317 12200 6508 8219 18425 9297 10608 10931 2317 12168 6508 9297 6508 9297 12502 18425 10931 6508 9025 10931 6508 15789 9297 6508 8148 8219 12177 12502 18425 11229 12541 17744 18943 19201 10721 2317 6508 9297 6508 9297 10721 10860 10931 2317 12541 13361 6508 18251 8219 19201 9297 10608 2317 9297 10608 10931 2317 13459 4380 6508 8219 9297 10860 12541 6508 133 177 905 1428 2025 9297 10608 2317 6508 9297 9290 9297 10266 10608 10756 18251 19201 13927 6508 19201 9297 11943 12541 6508 19201 13584 10266 8219 19201 18251 11614 5768 9025 9297 10860 12541 13361 6508 9297 2317 6508 18425 9025 12541 8345 8346 
2,18251 8989 10079 10603 12572 13136 16835 18246 18251 10079 12200 7013 16835 18251 7013 4290 7013 13924 13865 7013 10079 7013 9285 4889 7013 18251 9025 7013 1643 2803 7013 2454 4754 7013 7013 12200 13924 9285 9285 12200 2882 12200 8989 10604 1643 13924 18251 4290 12200 7013 18251 9285 10079 10608 12200 4754 7013 18251 10079 18251 1643 13924 2853 12200 7013 9285 9698 9810 10079 1699 7013 7013 12572 14337 14763 8989 9285 9698 9810 10079 10603 1643 1699 12200 2853 13865 13924 4754 14763 7013 7317 7319 16835 18246 18251 9285 9810 14337 14763 7013 18251 9285 10603 13136 4754 7013 12200 7013 16835 18251 1428 9698 13290 4754 14337 14763 15262 12200 9285 12200 7013 16835 
3,17035 12988 14757 15414 2994 17032 3907 8627 5727 3658 17032 14757 15414 1428 10860 
4,10564 16584 10508 10564 10508 1428 
5,2280 12168 17032 7784 19064 17035 2803 10598 13715 19021 17712 17712 1856 8299 16022 16516 17712 1428 12168 16022 19064 
6,16382 416 5477 6955 416 5477 5760 6955 8470 11891 416 9790 11142 11443 13008 14198 5021 15881 6955 18108 8470 9469 10048 17370 17487 18108 18919 19201 15592 11142 416 9469 6955 416 9469 11142 12877 15744 16109 6955 17952 18108 8957 416 6955 17952 10048 11443 14198 15592 18326 9469 15744 17386 18108 15032 5477 416 5477 6955 12877 10770 11741 13241 14012 416 953 11443 12877 15744 6955 17386 17952 18108 3764 13545 16381 1463 416 6955 15592 416 12877 6955 14198 13459 16381 9077 16648 17386 9024 416 9469 9790 1027 10048 10389 11443 13008 13010 14197 14198 5021 14378 5477 6002 15592 15744 15881 6629 6643 6659 6780 6955 7421 17370 17487 18086 18108 18209 18416 8470 18919 16382 194 1463 416 11142 12877 16382 17952 18108 69 5477 17079 19140 416 6955 416 14198 5760 15592 6955 18326 416 15592 6955 953 13459 5760 8470 8630 15592 416 13459 6955 13459 6780 18326 416 9790 11142 12877 5760 16382 6955 17512 17952 18108 8470 9168 13008 15744 8282 14198 9024 416 9469 9790 10389 11142 12877 13008 13010 5021 5477 5760 15881 16109 16371 16381 16382 16479 6955 17883 17952 8470 18904 18919 18326 15602 13010 16978 416 9499 12877 6955 18919 10253 12877 17952 18108 9469 11443 416 9469 9790 11142 2334 12877 13459 5021 5477 5760 15744 16382 6955 17952 18108 8470 9790 5021 16382 1428 416 11943 5477 6955 416 9469 6955 17952 18108 9469 1145 1809 6629 11142 416 5760 6955 17952 15592 8344 
7,3338 16685 16513 16534 18765 9818 10564 12344 3338 3480 6266 16516 18579 10564 16516 2409 12344 12888 3338 4542 14266 16516 16685 7061 10564 16516 16516 5727 9818 10564 3480 4542 16516 9818 16516 16516 12888 3480 16685 3480 16479 1428 3338 16516 
8,8989 9570 4955 16974 6419 9810 5261 
9,8957 13776 6421 4103 1463 4103 4103 6421 1428 
10,29 9448 13934 14900 28 1238 13745 28 28 1238 11961 12772 11961 3955 10105 1229 5132 6491 3955 16987 3955 6491 3955 8957 9025 3955 11961 1238 1238 1238 16987 7377 28 3955 6491 28 29 8957 11961 12567 3955 4531 6491 16954 17583 18899 28 13745 1488 11961 12464 3955 4858 6601 28 8957 3955 6491 28 1238 28 3955 1238 15602 6491 1238 10253 1238 905 1428 28 1238 28 1238 12567 16954 17032 17583 18899 3955 6491 1238 28 11279 11961 12541 12772 3955 5407 14537 15472 17164 8344 
